domain,problem,status,time_taken(secs),memory_usage(MB),log_file
scanalyzer-opt11-strips , p20.pddl ,failure,0.055,37.344,./stderr_dir-l/scanalyzer-opt11-strips_stderr.log
spider-opt18 , p20.pddl ,failure,0.133,39.068,./stderr_dir-l/spider-opt18_stderr.log
scanalyzer-08-strips , p30.pddl ,failure,0.063,37.496,./stderr_dir-l/scanalyzer-08-strips_stderr.log
barman-sat11-strips , pfile10-040.pddl ,failure,0.159,37.948,./stderr_dir-l/barman-sat11-strips_stderr.log
parcprinter-sat11-strips , p20.pddl ,failure,0.166,39.04,./stderr_dir-l/parcprinter-sat11-strips_stderr.log
woodworking-opt11-strips , p20.pddl ,failure,0.130,38.776,./stderr_dir-l/woodworking-opt11-strips_stderr.log
parking-sat11-strips , pfile13-050.pddl ,failure,0.049,37.156,./stderr_dir-l/parking-sat11-strips_stderr.log
elevators-sat11-strips , p20.pddl ,failure,0.070,37.592,./stderr_dir-l/elevators-sat11-strips_stderr.log
floortile-sat14-strips , p05-6-5-3.pddl ,failure,0.088,37.544,./stderr_dir-l/floortile-sat14-strips_stderr.log
woodworking-sat08-strips , p30.pddl ,failure,0.212,38.748,./stderr_dir-l/woodworking-sat08-strips_stderr.log
agricola-opt18 , p12.pddl ,failure,0.280,39.624,./stderr_dir-l/agricola-opt18_stderr.log
citycar-opt14-adl , p3-3-3-3-2.pddl ,failure,0.091,37.68,./stderr_dir-l/citycar-opt14-adl_stderr.log
pegsol-opt11-strips , p20.pddl ,failure,0.063,37.42,./stderr_dir-l/pegsol-opt11-strips_stderr.log
caldera-split-sat18 , p20.pddl ,failure,0.322,40.072,./stderr_dir-l/caldera-split-sat18_stderr.log
elevators-sat08-strips , p30.pddl ,failure,0.098,37.608,./stderr_dir-l/elevators-sat08-strips_stderr.log
organic-synthesis-opt18 , p20.pddl ,failure,242.400,55.104,./stderr_dir-l/organic-synthesis-opt18_stderr.log
elevators-00-full , f30-4.pddl ,failure,0.645,47.872,./stderr_dir-l/elevators-00-full_stderr.log
openstacks-sat11-strips , p20.pddl ,failure,3.264,79.788,./stderr_dir-l/openstacks-sat11-strips_stderr.log
optical-telegraphs , p48-opt49.pddl ,failure,0.183,38.48,./stderr_dir-l/optical-telegraphs_stderr.log
fridge , p-9fridges-10screws.pddl ,failure,0.024,36.784,./stderr_dir-l/fridge_stderr.log
openstacks-sat08-strips , p30.pddl ,failure,0.851,47.804,./stderr_dir-l/openstacks-sat08-strips_stderr.log
sokoban-sat08-strips , p30.pddl ,failure,0.087,37.62,./stderr_dir-l/sokoban-sat08-strips_stderr.log
miconic-fulladl , f30-4.pddl ,failure,1.187,49.248,./stderr_dir-l/miconic-fulladl_stderr.log
