domain,problem,status,time_taken(secs),memory_usage(MB),log_file
openstacks-strips,p30.pddl,failure,208.442,2042.184,./stderr_dir/openstacks-strips_stderr.log
openstacks-opt14-strips,p50_3.pddl,failure,0.626,42.752,./stderr_dir/openstacks-opt14-strips_stderr.log
scanalyzer-opt11-strips,p20.pddl,failure,0.092,37.4,./stderr_dir/scanalyzer-opt11-strips_stderr.log
spider-opt18,p20.pddl,failure,0.218,38.94,./stderr_dir/spider-opt18_stderr.log
scanalyzer-08-strips,p30.pddl,failure,0.083,37.536,./stderr_dir/scanalyzer-08-strips_stderr.log
barman-sat11-strips,pfile10-040.pddl,failure,0.141,38.116,./stderr_dir/barman-sat11-strips_stderr.log
parcprinter-sat11-strips,p20.pddl,failure,0.256,38.932,./stderr_dir/parcprinter-sat11-strips_stderr.log
woodworking-opt11-strips,p20.pddl,failure,0.205,38.804,./stderr_dir/woodworking-opt11-strips_stderr.log
parking-sat11-strips,pfile13-050.pddl,failure,0.074,37.304,./stderr_dir/parking-sat11-strips_stderr.log
elevators-sat11-strips,p20.pddl,failure,0.108,37.568,./stderr_dir/elevators-sat11-strips_stderr.log
floortile-sat14-strips,p05-6-5-3.pddl,failure,0.094,37.348,./stderr_dir/floortile-sat14-strips_stderr.log
woodworking-sat08-strips,p30.pddl,failure,0.186,38.532,./stderr_dir/woodworking-sat08-strips_stderr.log
agricola-opt18,p12.pddl,failure,0.272,39.784,./stderr_dir/agricola-opt18_stderr.log
citycar-opt14-adl,p3-3-3-3-2.pddl,failure,0.105,37.976,./stderr_dir/citycar-opt14-adl_stderr.log
pegsol-opt11-strips,p20.pddl,failure,0.072,37.252,./stderr_dir/pegsol-opt11-strips_stderr.log
caldera-split-sat18,p20.pddl,failure,0.332,40.06,./stderr_dir/caldera-split-sat18_stderr.log
elevators-sat08-strips,p30.pddl,failure,0.102,37.54,./stderr_dir/elevators-sat08-strips_stderr.log
organic-synthesis-opt18,p20.pddl,failure,172.574,55.112,./stderr_dir/organic-synthesis-opt18_stderr.log
elevators-00-full,f30-4.pddl,failure,0.856,47.92,./stderr_dir/elevators-00-full_stderr.log
openstacks-sat11-strips,p20.pddl,failure,3.112,79.692,./stderr_dir/openstacks-sat11-strips_stderr.log
optical-telegraphs,p48-opt49.pddl,failure,0.162,38.292,./stderr_dir/optical-telegraphs_stderr.log
fridge,p-9fridges-10screws.pddl,failure,0.025,36.724,./stderr_dir/fridge_stderr.log
openstacks-sat08-strips,p30.pddl,failure,0.919,47.872,./stderr_dir/openstacks-sat08-strips_stderr.log
sokoban-sat08-strips,p30.pddl,failure,0.108,37.52,./stderr_dir/sokoban-sat08-strips_stderr.log
miconic-fulladl,f30-4.pddl,failure,1.130,49.208,./stderr_dir/miconic-fulladl_stderr.log
